Cell C13 is wrong, 0.05pt is deducted!
Cell C14 is wrong, 0.05pt is deducted!
Cell C15 is wrong, 0.05pt is deducted!
Cell C16 is wrong, 0.05pt is deducted!
Cell C17 is wrong, 0.05pt is deducted!
Cell C18 is wrong, 0.05pt is deducted!
Cell C19 is wrong, 0.05pt is deducted!
Cell C20 is wrong, 0.05pt is deducted!
Cell C21 is wrong, 0.05pt is deducted!
Cell C22 is wrong, 0.05pt is deducted!
Cell C23 is wrong, 0.05pt is deducted!
Cell C24 is wrong, 0.05pt is deducted!
Cell C25 is wrong, 0.05pt is deducted!
Cell C26 is wrong, 0.05pt is deducted!
Cell C27 is wrong, 0.05pt is deducted!
Cell C28 is wrong, 0.05pt is deducted!
Cell C29 is wrong, 0.05pt is deducted!
Cell C30 is wrong, 0.05pt is deducted!
Cell C31 is wrong, 0.05pt is deducted!
Cell C32 is wrong, 0.05pt is deducted!
Cell C33 is wrong, 0.05pt is deducted!
Cell C34 is wrong, 0.05pt is deducted!
Cell C35 is wrong, 0.05pt is deducted!
Cell C36 is wrong, 0.05pt is deducted!
Cell C37 is wrong, 0.05pt is deducted!
Cell C38 is wrong, 0.05pt is deducted!
Cell C39 is wrong, 0.05pt is deducted!
Cell C40 is wrong, 0.05pt is deducted!
Cell C41 is wrong, 0.05pt is deducted!
Cell C42 is wrong, 0.05pt is deducted!
Cell C43 is wrong, 0.05pt is deducted!
Cell C44 is wrong, 0.05pt is deducted!
Cell C45 is wrong, 0.05pt is deducted!
Cell C46 is wrong, 0.05pt is deducted!
Cell C47 is wrong, 0.05pt is deducted!
Cell C48 is wrong, 0.05pt is deducted!
Cell C49 is wrong, 0.05pt is deducted!
Cell C50 is wrong, 0.05pt is deducted!
Cell C51 is wrong, 0.05pt is deducted!
Cell C52 is wrong, 0.05pt is deducted!
Cell C53 is wrong, 0.05pt is deducted!
Cell C54 is wrong, 0.05pt is deducted!
Cell C55 is wrong, 0.05pt is deducted!
Cell C56 is wrong, 0.05pt is deducted!
Cell C57 is wrong, 0.05pt is deducted!
Cell C58 is wrong, 0.05pt is deducted!
Cell C59 is wrong, 0.05pt is deducted!
Cell C60 is wrong, 0.05pt is deducted!
Cell C61 is wrong, 0.05pt is deducted!
Cell C62 is wrong, 0.05pt is deducted!
Cell C63 is wrong, 0.05pt is deducted!
Cell C64 is wrong, 0.05pt is deducted!
Cell C65 is wrong, 0.05pt is deducted!
Cell C66 is wrong, 0.05pt is deducted!
Cell C67 is wrong, 0.05pt is deducted!
Cell C68 is wrong, 0.05pt is deducted!
Cell C69 is wrong, 0.05pt is deducted!
Cell C70 is wrong, 0.05pt is deducted!
Cell C71 is wrong, 0.05pt is deducted!
